iter	Passed	Remaining
0	174	86924
1	181	45289
2	194	32269
3	206	25565
4	211	20918
5	224	18487
6	238	16797
7	244	15010
8	257	14067
9	273	13381
10	287	12796
11	295	12023
12	309	11612
13	330	11467
14	340	10994
15	357	10808
16	371	10551
17	388	10394
18	403	10212
19	417	10025
20	431	9838
21	442	9616
22	455	9455
23	471	9342
24	486	9241
25	500	9128
26	515	9025
27	531	8966
28	546	8869
29	560	8782
30	574	8694
31	583	8531
32	598	8466
33	611	8387
34	625	8311
35	639	8237
36	653	8174
37	669	8136
38	683	8078
39	690	7944
40	696	7792
41	709	7736
42	714	7596
43	729	7558
44	742	7512
45	756	7466
46	772	7448
47	790	7444
48	804	7408
49	819	7372
50	833	7335
51	844	7278
52	859	7246
53	867	7165
54	881	7130
55	886	7032
56	901	7005
57	915	6974
58	928	6942
59	942	6910
60	955	6878
61	969	6850
62	984	6829
63	998	6804
64	1013	6785
65	1026	6746
66	1035	6694
67	1049	6667
68	1062	6639
69	1076	6612
70	1089	6584
71	1097	6523
72	1110	6498
73	1116	6425
74	1130	6407
75	1144	6386
76	1158	6362
77	1171	6338
78	1182	6303
79	1196	6280
80	1203	6225
81	1216	6202
82	1230	6180
83	1243	6160
84	1261	6160
85	1279	6158
86	1294	6143
87	1309	6129
88	1323	6113
89	1338	6096
90	1353	6082
91	1362	6044
92	1376	6025
93	1391	6009
94	1405	5990
95	1419	5973
96	1430	5944
97	1444	5924
98	1458	5906
99	1472	5888
100	1485	5869
101	1499	5850
102	1512	5830
103	1527	5816
104	1541	5797
105	1554	5777
106	1568	5761
107	1583	5746
108	1597	5730
109	1611	5713
110	1626	5698
111	1640	5683
112	1646	5638
113	1662	5628
114	1677	5617
115	1692	5604
116	1708	5593
117	1725	5587
118	1743	5582
119	1758	5568
120	1773	5554
121	1790	5546
122	1805	5533
123	1820	5521
124	1834	5504
125	1849	5489
126	1863	5472
127	1876	5454
128	1890	5436
129	1903	5418
130	1917	5400
131	1932	5386
132	1945	5368
133	1958	5350
134	1973	5334
135	1987	5319
136	2002	5304
137	2015	5287
138	2029	5270
139	2042	5252
140	2056	5236
141	2066	5210
142	2080	5193
143	2093	5176
144	2099	5139
145	2112	5122
146	2122	5095
147	2127	5059
148	2140	5042
149	2154	5027
150	2168	5011
151	2181	4995
152	2195	4979
153	2209	4963
154	2214	4928
155	2223	4903
156	2236	4887
157	2250	4872
158	2264	4856
159	2277	4840
160	2291	4824
161	2306	4812
162	2314	4784
163	2328	4771
164	2342	4756
165	2359	4747
166	2377	4740
167	2392	4728
168	2408	4717
169	2424	4706
170	2438	4692
171	2454	4680
172	2469	4668
173	2485	4655
